priority,state,interval,comparison,threshold,criticality,actions,status
1,OPEN,,,,NORMAL,,OPEN
2,ACTIVE,SINCE_ACTIVE,>=,GENERATE_CRITICAL,CRITICAL,generate,OPEN
3,ACTIVE,SINCE_ACTIVE,>=,GENERATE_WARNING,WARNING,generate,OPEN
4,ACTIVE,SINCE_ACTIVE,<,GENERATE_WARNING,NORMAL,generate,OPEN
5,GENERATED,SINCE_GENERATED,>=,SEND_CRITICAL,CRITICAL,display||send,OPEN
6,GENERATED,SINCE_GENERATED,>=,SEND_WARNING,WARNING,display||send,OPEN
7,GENERATED,SINCE_GENERATED,<,SEND_WARNING,NORMAL,display||send,OPEN
9,SENT,SINCE_INVOICED,>=,RESPONSE_CRITICAL,CRITICAL,display||remind||complete,OPEN
10,REMINDED,SINCE_INVOICED,>=,RESPONSE_CRITICAL,CRITICAL,display||remind||complete,OPEN
11,SENT,SINCE_INVOICED,>=,RESPONSE_WARNING,WARNING,display||remind||complete,OPEN
12,REMINDED,SINCE_INVOICED,>=,RESPONSE_WARNING,WARNING,display||remind||complete,OPEN
13,SENT,SINCE_INVOICED,<,RESPONSE_WARNING,NORMAL,display||remind||complete,OPEN
14,PAID,,,,NORMAL,display||receipt,COMPLETE
